Product Code,SKU,ID,Product Identification,Size,Total Retail,Color/Pattern,Category,Image,product description,Supplier,Search tag 1,Search tag 2,Search tag 3,Search tags 4,Search tag 5
CEAS312,PRO-CEAS312,1,CEMOTO EXHAUST PLUG 16mm30mm ,,$8.50,,Dirt/Dirt-accessories/equipment,http://www.kitcross.com/infra/photosproduits/accessoire-moto-0172092.jpg,Exhaust plug 2stroke diam. 16 till 30mm,Pro Accessories,exhaust plug,Motorcycle accessories,bung,CEMOTO,PLASTICS
CEAS313,PRO-CEAS313,2,CEMOTO EXHAUST PLUG 26mm45mm ,,$8.50,,Dirt/Dirt-accessories/equipment,http://www.kitcross.com/infra/photosproduits/accessoire-moto-0172095.jpg,Exhaust plug 4stroke diam. 26 till 45mm,Pro Accessories,exhaust plug,Motorcycle accessories,bung,CEMOTO,PLASTICS
CEAS6051,PRO-CEAS6051,3,CEMOTO REAR GUARD TOOL BAG ,,$24.95,BLACK,Dirt/Dirt-accessories/equipment,,,Pro Accessories,tool bag,Motorcycle accessories,guard tool bag,CEMOTO,PLASTICS
CEJUX035,PRO-CEJUX035,4,CEMOTO 500cc  CONTAINER,,$10.95,,Dirt/Dirt-accessories/equipment,,,Pro Accessories,fuel container,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
CEJUX036,PRO-CEJUX036,5,CEMOTO 1000cc CONTAINER,,$12.50,,Dirt/Dirt-accessories/equipment,,,Pro Accessories,fuel container,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
CEJUX044,PRO-CEJUX044,6,CEMOTO 100cc  CONTAINER,,$6.95,,Dirt/Dirt-accessories/equipment,,,Pro Accessories,fuel container,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
CEJUX045,PRO-CEJUX045,7,CEMOTO 250cc  CONTAINER,,$9.25,,Dirt/Dirt-accessories/equipment,,,Pro Accessories,fuel container,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
CERG,PRO-CERG,8,CEMOTO UNIVERSAL REAR GUARDS    ,,$40.95,,Dirt/Dirt-accessories/plastics,,,Pro Accessories,rear guard,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
CERP,PRO-CERP,9,CEMOTO RACE NUMBER PLATES     ,,$11.50,,Dirt/Dirt-accessories/plastics,,,Pro Accessories,number plate,Motorcycle accessories,Aftermarket parts,CEMOTO,PLASTICS
BBHG7BE,PRO-BBHG7BE,10,BARKBUSTERS VPS MX HANDGUARD WITH MOUNT KIT,,64.00,BLUE,Dirt/Dirt-accessories/handlebar-&-Accessories/HANDGUARDS,,,Pro Accessories,HAND GUARDS,Motorcycle accessories,Aftermarket parts,BARKBUSTERS,PLASTICS
